date,window,baseline_latest,00632r_zero_to_cash,baseline_00632r_weight,guarded_cash_weight
2020-08-17,full_2020_2026,1114996.917952193,1114996.917952193,0.0,0.17833154737222945
2020-08-18,full_2020_2026,1108578.7730071973,1108578.7730071973,0.0,0.17833154737222945
2020-08-19,full_2020_2026,1101349.505104698,1101349.505104698,0.0,0.17833154737222945
2020-08-20,full_2020_2026,1061351.2465780107,1061351.2465780107,0.0,0.17833154737222945
2020-08-21,full_2020_2026,1084784.020001325,1084784.020001325,0.0,0.17833154737222945
2020-08-24,full_2020_2026,1088194.1848050416,1088194.1848050416,0.0,0.17833154737222945
2020-08-25,full_2020_2026,1097974.0732820109,1097974.0732820109,0.0,0.17833154737222945
2020-08-26,full_2020_2026,1102743.2222384992,1102743.2222384992,0.0,0.17833154737222945
2020-08-27,full_2020_2026,1103111.7775820908,1103111.7775820908,0.0,0.17833154737222945
2020-08-28,full_2020_2026,1093821.6655346602,1093821.6655346602,0.0,0.17833154737222945
2020-08-31,full_2020_2026,1080534.0106018381,1080534.0106018381,0.0,0.17833154737222945
2020-09-01,full_2020_2026,1093868.1411629478,1093868.1411629478,0.0,0.17833154737222945
2020-09-02,full_2020_2026,1091439.0810067109,1091439.0810067109,0.0,0.17833154737222945
2020-09-03,full_2020_2026,1094778.7802683567,1094778.7802683567,0.0,0.17833154737222945
2020-09-04,full_2020_2026,1086367.2562464331,1086367.2562464331,0.0,0.17833154737222945
2020-09-07,full_2020_2026,1084302.6132998518,1084302.6132998518,0.0,0.17833154737222945
2020-09-08,full_2020_2026,1090909.2028471292,1090909.2028471292,0.0,0.17833154737222945
2020-09-09,full_2020_2026,1084613.695904227,1084613.695904227,0.0,0.17833154737222945
2020-09-10,full_2020_2026,1092376.8118604068,1092376.8118604068,0.0,0.17833154737222945
2020-09-11,full_2020_2026,1091665.1476729151,1091665.1476729151,0.0,0.17833154737222945
2020-09-14,full_2020_2026,1107030.892286235,1107030.892286235,0.0,0.17833154737222945
2020-09-15,full_2020_2026,1109578.7383817157,1109578.7383817157,0.0,0.17833154737222945
2020-09-16,full_2020_2026,1123352.4049401125,1123352.4049401125,0.0,0.17833154737222945
2020-09-17,full_2020_2026,1111985.0296074897,1111985.0296074897,0.0,0.17833154737222945
2020-09-18,full_2020_2026,1112356.3197603093,1112356.3197603093,0.0,0.17833154737222945
2020-09-21,full_2020_2026,1102301.5187245016,1102301.5187245016,0.0,0.17833154737222945
2020-09-22,full_2020_2026,1086677.7163076915,1086677.7163076915,0.0,0.17833154737222945
2020-09-23,full_2020_2026,1086207.293720149,1086207.293720149,0.0,0.17833154737222945
2020-09-24,full_2020_2026,1057477.3358223555,1057477.3358223555,0.0,0.17833154737222945
2020-09-25,full_2020_2026,1059827.9085870646,1059827.9085870646,0.0,0.17833154737222945
2020-09-28,full_2020_2026,1077857.815928579,1077857.815928579,0.0,0.17833154737222945
2020-09-29,full_2020_2026,1080132.2556296536,1080132.2556296536,0.0,0.17833154737222945
2020-09-30,full_2020_2026,1084666.4114159585,1084666.4114159585,0.0,0.17833154737222945
2020-10-05,full_2020_2026,1086646.983853206,1086646.983853206,0.0,0.17833154737222945
2020-10-06,full_2020_2026,1098977.9488302353,1098977.9488302353,0.0,0.17833154737222945
2020-10-07,full_2020_2026,1104643.7770117451,1104643.7770117451,0.0,0.17833154737222945
2020-10-08,full_2020_2026,1117309.2772524203,1117309.2772524203,0.0,0.17833154737222945
2020-10-12,full_2020_2026,1123807.7686771008,1123807.7686771008,0.0,0.17833154737222945
2020-10-13,full_2020_2026,1125332.892088756,1125332.892088756,0.0,0.17833154737222945
2020-10-14,full_2020_2026,1121810.7575781918,1121810.7575781918,0.0,0.17833154737222945
2020-10-15,full_2020_2026,1113393.4657545742,1113393.4657545742,0.0,0.17833154737222945
2020-10-16,full_2020_2026,1107570.1707796054,1107570.1707796054,0.0,0.17833154737222945
2020-10-19,full_2020_2026,1122003.9358943566,1122003.9358943566,0.0,0.17833154737222945
2020-10-20,full_2020_2026,1117039.5274981502,1117039.5274981502,0.0,0.17833154737222945
2020-10-21,full_2020_2026,1117935.8226568892,1117935.8226568892,0.0,0.17833154737222945
2020-10-22,full_2020_2026,1119843.6630174182,1119843.6630174182,0.0,0.17833154737222945
2020-10-23,full_2020_2026,1120473.9498456425,1120473.9498456425,0.0,0.17833154737222945
2020-10-26,full_2020_2026,1122390.1182750755,1122390.1182750755,0.0,0.17833154737222945
2020-10-27,full_2020_2026,1117464.5906255918,1117464.5906255918,0.0,0.17833154737222945
2020-10-28,full_2020_2026,1111839.8712936374,1111839.8712936374,0.0,0.17833154737222945
2020-10-29,full_2020_2026,1100403.742900039,1100403.742900039,0.0,0.17833154737222945
2020-10-30,full_2020_2026,1091178.7556942706,1091178.7556942706,0.0,0.17833154737222945
2020-11-02,full_2020_2026,1093963.706715933,1093963.706715933,0.0,0.17833154737222945
2020-11-03,full_2020_2026,1108323.5051792068,1108323.5051792068,0.0,0.17833154737222945
2020-11-04,full_2020_2026,1124990.6447749203,1124990.6447749203,0.0,0.17833154737222945
2020-11-05,full_2020_2026,1124475.7708097335,1124475.7708097335,0.0,0.17833154737222945
2020-11-06,full_2020_2026,1130518.460285097,1130518.460285097,0.0,0.17833154737222945
2020-11-09,full_2020_2026,1146951.613830139,1146951.613830139,0.0,0.17833154737222945
2020-11-10,full_2020_2026,1138132.0665317646,1138132.0665317646,0.0,0.17833154737222945
2020-11-11,full_2020_2026,1154997.2620670993,1154997.2620670993,0.0,0.17833154737222945
2020-11-12,full_2020_2026,1152847.446919282,1152847.446919282,0.0,0.17833154737222945
2020-11-13,full_2020_2026,1157749.67817256,1157749.67817256,0.0,0.17833154737222945
2020-11-16,full_2020_2026,1193258.1749126923,1193258.1749126923,0.0,0.17833154737222945
2020-11-17,full_2020_2026,1197769.575870085,1197769.575870085,0.0,0.17833154737222945
2020-11-18,full_2020_2026,1207255.7261634162,1207255.7261634162,0.0,0.17833154737222945
2020-11-19,full_2020_2026,1205695.516847006,1205695.516847006,0.0,0.17833154737222945
2020-11-20,full_2020_2026,1204741.8713512702,1204741.8713512702,0.0,0.17833154737222945
2020-11-23,full_2020_2026,1219635.7771065366,1219635.7771065366,0.0,0.17833154737222945
2020-11-24,full_2020_2026,1213533.8102770275,1213533.8102770275,0.0,0.17833154737222945
2020-11-25,full_2020_2026,1203509.2522662994,1203509.2522662994,0.0,0.17833154737222945
2020-11-26,full_2020_2026,1214846.261816613,1214846.261816613,0.0,0.17833154737222945
2020-11-27,full_2020_2026,1215586.7682423897,1215586.7682423897,0.0,0.17833154737222945
2020-11-30,full_2020_2026,1200893.0707276752,1200893.0707276752,0.0,0.17833154737222945
2020-12-01,full_2020_2026,1212931.615422967,1212931.615422967,0.0,0.17833154737222945
2020-12-02,full_2020_2026,1222810.5658807973,1222810.5658807973,0.0,0.17833154737222945
2020-12-03,full_2020_2026,1222920.2104286896,1222920.2104286896,0.0,0.17833154737222945
2020-12-04,full_2020_2026,1241391.6111676265,1241391.6111676265,0.0,0.17833154737222945
2020-12-07,full_2020_2026,1250528.42856911,1250528.42856911,0.0,0.17833154737222945
2020-12-08,full_2020_2026,1266324.12133935,1266324.12133935,0.0,0.17833154737222945
2020-12-09,full_2020_2026,1268426.4631243027,1268426.4631243027,0.0,0.17833154737222945
2020-12-10,full_2020_2026,1253422.13204468,1253422.13204468,0.0,0.17833154737222945
2020-12-11,full_2020_2026,1254354.7851464292,1254354.7851464292,0.0,0.17833154737222945
2020-12-14,full_2020_2026,1250843.7269504406,1250843.7269504406,0.0,0.17833154737222945
2020-12-15,full_2020_2026,1235517.1947284117,1235517.1947284117,0.0,0.17833154737222945
2020-12-16,full_2020_2026,1259054.4596136543,1259054.4596136543,0.0,0.17833154737222945
2020-12-17,full_2020_2026,1254106.8054397963,1254106.8054397963,0.0,0.17833154737222945
2020-12-18,full_2020_2026,1250555.8864794602,1250555.8864794602,0.0,0.17833154737222945
2020-12-21,full_2020_2026,1264128.5372357997,1264128.5372357997,0.0,0.17833154737222945
2020-12-22,full_2020_2026,1247573.7196216849,1247573.7196216849,0.0,0.17833154737222945
2020-12-23,full_2020_2026,1250864.2820997145,1250864.2820997145,0.0,0.17833154737222945
2020-12-24,full_2020_2026,1258246.6109261555,1258246.6109261555,0.0,0.17833154737222945
2020-12-25,full_2020_2026,1261543.5637780814,1261543.5637780814,0.0,0.17833154737222945
2020-12-28,full_2020_2026,1275347.710518232,1275347.710518232,0.0,0.17833154737222945
2020-12-29,full_2020_2026,1274366.7963674855,1274366.7963674855,0.0,0.17833154737222945
2020-12-30,full_2020_2026,1293166.9523352478,1293166.9523352478,0.0,0.17833154737222945
2020-12-31,full_2020_2026,1298799.279904222,1298799.279904222,0.0,0.17833154737222945
2021-01-04,full_2020_2026,1320381.8119409597,1320381.8119409597,0.0,0.17833154737222945
2021-01-05,full_2020_2026,1324343.6287129526,1324343.6287129526,0.0,0.17833154737222945
2021-01-06,full_2020_2026,1330531.1367723998,1330531.1367723998,0.0,0.17833154737222945
2021-01-07,full_2020_2026,1362018.8162148492,1362018.8162148492,0.0,0.17833154737222945
2021-01-08,full_2020_2026,1385772.9875112274,1385772.9875112274,0.0,0.17833154737222945
2021-01-11,full_2020_2026,1395672.0068094754,1395672.0068094754,0.0,0.17833154737222945
2021-01-12,full_2020_2026,1391285.727667261,1391285.727667261,0.0,0.17833154737222945
2021-01-13,full_2020_2026,1424386.8329984415,1424386.8329984415,0.0,0.17833154737222945
2021-01-14,full_2020_2026,1414808.4337595939,1414808.4337595939,0.0,0.17833154737222945
2021-01-15,full_2020_2026,1412538.9166303696,1412538.9166303696,0.0,0.17833154737222945
2021-01-18,full_2020_2026,1409398.1716810581,1409398.1716810581,0.0,0.17833154737222945
