date,window,fixed_10pct,raw_gate,debounce_2of3,debounce_3of3,fixed_10pct_00713_weight,raw_gate_00713_weight
2025-03-21,ncf_panel_2025_2026,990187.1520697407,987257.8814748642,988345.4083648317,988547.7137455815,0.1,0.1
2025-03-24,ncf_panel_2025_2026,989674.5838211047,986734.3454164558,987821.2955983998,988020.3015818787,0.1,0.1
2025-03-25,ncf_panel_2025_2026,993459.0624449865,990651.86014654,991743.1257183035,991972.8067212803,0.1,0.1
2025-03-26,ncf_panel_2025_2026,993239.7541036245,990419.9372905253,991510.9473846197,991738.2558047643,0.1,0.1
2025-03-27,ncf_panel_2025_2026,985920.7247728809,982865.0804601323,983947.7684024293,984118.3554934058,0.1,0.1
2025-03-28,ncf_panel_2025_2026,981496.22108796,978336.849130228,979414.5489398115,979555.5574077315,0.1,0.1
2025-03-31,ncf_panel_2025_2026,966404.4258861756,962547.9468816454,963913.7350982695,963949.2244210986,0.1,0.0
2025-04-01,ncf_panel_2025_2026,974582.7814213054,970259.1742322812,972320.4747424608,972413.9615764061,0.1,0.1
2025-04-02,ncf_panel_2025_2026,973955.4296684117,969598.7528863321,971672.1956637043,971760.820619978,0.1,0.1
2025-04-07,ncf_panel_2025_2026,927188.2385796966,921161.0042021114,923931.4292012446,923728.6778427849,0.1,0.1
2025-04-08,ncf_panel_2025_2026,917513.2374662166,910888.7099146302,913869.2617620261,913583.7245744241,0.1,0.1
2025-04-09,ncf_panel_2025_2026,899393.0326897604,892082.7440012114,895343.4300479654,894941.5552555188,0.1,0.1
2025-04-10,ncf_panel_2025_2026,938584.8003078154,932649.5961379141,935332.7145067132,935172.7941909219,0.1,0.1
2025-04-11,ncf_panel_2025_2026,944067.971886522,938609.9369752285,941137.6428651885,941037.039681908,0.1,0.1
2025-04-14,ncf_panel_2025_2026,941894.2298446082,936353.2169830566,938914.7150684041,938800.0920463463,0.1,0.1
2025-04-15,ncf_panel_2025_2026,946401.3171360728,941013.6023293736,943509.9470327832,943422.7163740685,0.1,0.1
2025-04-16,ncf_panel_2025_2026,940033.5190411547,934317.6637709531,936935.2844860301,936799.3773172532,0.1,0.1
2025-04-17,ncf_panel_2025_2026,935288.2430149338,929400.5141687163,932089.4754239566,931923.7916563125,0.1,0.1
2025-04-18,ncf_panel_2025_2026,936057.8659956907,930207.6960595415,932882.5500232992,932722.5615322564,0.1,0.1
2025-04-21,ncf_panel_2025_2026,930795.3805616111,924703.931370694,927471.1765525765,927273.6347428242,0.1,0.1
2025-04-22,ncf_panel_2025_2026,924499.0483767268,918135.9034287708,921009.2411718111,920768.2872366717,0.1,0.1
2025-04-23,ncf_panel_2025_2026,940569.6263548133,934922.6681026238,937519.2666027391,937391.1480448964,0.1,0.1
2025-04-24,ncf_panel_2025_2026,938262.2348112774,932519.2330901381,935153.7877584138,935010.0752375866,0.1,0.1
2025-04-25,ncf_panel_2025_2026,946766.0357553654,941435.1733281582,943914.6016171216,943833.5621530783,0.1,0.1
2025-04-28,ncf_panel_2025_2026,949995.5410682241,944810.8343192954,947234.0648851001,947175.9001858138,0.1,0.1
2025-04-29,ncf_panel_2025_2026,952279.4007447525,947141.3339836826,949539.6813935456,949492.6214480229,0.1,0.1
2025-04-30,ncf_panel_2025_2026,953669.2877697527,948627.0625334326,950992.5944835916,950958.324774567,0.1,0.1
2025-05-02,ncf_panel_2025_2026,964765.0299111179,960239.9658769928,962408.485242194,962454.1493552403,0.1,0.1
2025-05-05,ncf_panel_2025_2026,961146.3543821069,956460.6407925247,958691.3129787564,958711.6246804553,0.1,0.1
2025-05-06,ncf_panel_2025_2026,959537.1518177296,954736.5106447916,957006.2145406294,957011.3634185556,0.1,0.1
