dt,0050_close,ma_gap,drawdown,exit_momentum,inst_0050_5d,foreign_0050_5d,margin_0050_balance_chg_5d,market_margin_balance_chg_5d,tdcc_0050_minority_chg_1w,tdcc_0050_major_chg_1w,foreign_shareholding_0050_ratio_chg_5d,short_0050_margin_balance_chg_5d,short_0050_sbl_balance_chg_5d,securities_lending_0050_volume_5d,day_trade_0050_volume_5d,dealer_tx_volume_5d,dealer_txo_volume_5d,tx_foreign_net_oi,tx_foreign_net_oi_chg_5d,txo_foreign_call_net_oi,txo_foreign_put_net_oi,txo_foreign_put_call_net_oi,txo_foreign_put_call_net_oi_chg_5d,smart_money_cost_20d,smart_money_cost_60d,smart_money_cost_gap_20d,smart_money_cost_gap_60d,smart_money_pressure_20d,smart_money_cost_risk,return_0050_1d,hist_var_0050_20d_5pct,realized_vol_0050_20d,realized_vol_0050_60d,realized_vol_ratio_20_60,tail_var_breach_risk,tail_vol_regime_risk,tail_risk_score,chip_inst_risk,chip_foreign_risk,chip_margin_risk,chip_market_margin_risk,chip_tdcc_risk,chip_foreign_shareholding_risk,chip_short_balance_risk,chip_securities_lending_risk,chip_day_trading_risk,chip_dealer_tx_risk,chip_dealer_txo_risk,chip_score,derivative_futures_foreign_risk,derivative_options_foreign_risk,derivative_score,total_risk_score,base_regime,execution_regime,portfolio_value
2025-10-21,63.20000076293945,0.20622773898833313,0.0,0.04118616093208316,-264987436.0,-232471995.0,136.0,149782.0,0.10999999999999943,0.20000000000000284,-0.14000000000000012,33000.0,-1779000.0,600.0,0.0,904132.0,5664086.0,-23282.0,4162.0,10483.0,5871.0,-4612.0,-457.0,59.20008115883896,53.32822186228517,0.06756611690055547,0.18511359568948627,38620086.0,0,0.0015848223650809512,-0.015141560177535906,0.20000285848118723,0.17452473613265135,1.1459857376846034,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,golden1,golden1,1315054.0979094158
2025-10-22,62.70000076293945,0.19264158823972188,-0.007911392309558285,0.014563131666499807,-334247233.0,-260237367.0,473.0,123650.0,0.10999999999999943,0.20000000000000284,-0.29000000000000004,19000.0,17413000.0,2100.0,0.0,865308.0,5445630.0,-26095.0,-4424.0,6358.0,2886.0,-3472.0,-1330.0,59.20013433462668,53.347970432337895,0.059119231191772315,0.17530245770948105,38620435.0,0,-0.007911392309558285,-0.015141560177535906,0.2049497457331373,0.17576212004432884,1.1660632318354323,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0,1,4,golden1,golden1,1306806.4549736811
2025-10-23,62.349998474121094,0.18185326401857682,-0.013449403141729155,-0.01031748453776038,-455309469.0,-350645781.0,1073.0,18667.0,0.47000000000000597,-0.8200000000000003,-0.8200000000000003,58000.0,18319000.0,1931.0,0.0,823742.0,5105264.0,-24307.0,-2272.0,7854.0,1941.0,-5913.0,-3098.0,59.200179485046895,53.3932190207144,0.05320624052955436,0.16775125414206316,38620547.0,0,-0.0055821735974401765,-0.015141560177535906,0.20804361963806675,0.17675165585725158,1.1770391549038004,0,0,0,1,1,1,1,1,1,1,0,0,0,0,7,1,0,1,8,golden1,golden1,1298118.540668544
2025-10-27,63.79999923706055,0.2048818353301034,0.0,0.028203062393509004,-331396471.0,-255299916.0,514.0,46728.0,0.47000000000000597,-0.8200000000000003,0.3100000000000005,-3000.0,13107000.0,1531.0,0.0,791272.0,4807090.0,-24211.0,1375.0,7979.0,2524.0,-5455.0,-1719.0,60.10853717283239,53.55686998694324,0.061413274018197406,0.19125705539951277,48123901.0,0,0.023255826759022158,-0.015141560177535906,0.2131771460864303,0.17848639134188818,1.1943607828234504,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,3,golden1,golden1,1330979.810308284
2025-10-28,63.349998474121094,0.1923246764517248,-0.00705330357869427,0.00396196523051473,-366510379.0,-283179932.0,869.0,-34992.0,0.47000000000000597,-0.8200000000000003,-0.020000000000000462,9000.0,-26094000.0,1531.0,0.0,718542.0,4758094.0,-27454.0,-2203.0,7829.0,2200.0,-5629.0,-1804.0,60.108559629042475,53.55687337376914,0.05392641023313538,0.18285468294623008,48123874.0,0,-0.00705330357869427,-0.015141560177535906,0.2163439034697212,0.179304565184405,1.2065721988016493,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,1,0,1,5,golden1,golden1,1320842.0753985655
2025-10-29,64.4000015258789,0.2077708341680451,0.0,0.018987353614766667,-284223388.0,-223829079.0,351.0,5445.0,0.47000000000000597,-0.8200000000000003,0.3900000000000001,18000.0,-25367000.0,1531.0,0.0,701118.0,5283326.0,-24421.0,-1139.0,8730.0,2227.0,-6503.0,-1891.0,60.52840251651779,53.85687433555825,0.06396334362706146,0.19576195834595067,53342209.0,0,0.016574634207556338,-0.015141560177535906,0.2186743896177683,0.1806714884179707,1.210342547861678,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,1,0,1,4,golden1,golden1,1343054.558611412
2025-10-30,64.4000015258789,0.2035021450941572,0.0,0.027113249477730195,-229062234.0,-188669054.0,-67.0,-48403.0,0.47000000000000597,-0.8200000000000003,0.08000000000000007,124000.0,-30762000.0,31.0,0.0,668040.0,4542554.0,-24746.0,1349.0,9009.0,3403.0,-5606.0,-2134.0,60.528432634328304,53.8568762947706,0.06396281421889771,0.19576191484636896,53341852.0,0,0.0,-0.010007192309708469,0.20462648283716378,0.17896768871109228,1.1433710984975198,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,3,golden1,golden1,1342911.8753315085
2025-10-31,64.75,0.2058008799087503,0.0,0.038492407130932715,-108670046.0,-88975777.0,-550.0,18853.0,-0.46999999999999886,0.7600000000000016,0.54,120000.0,-37246000.0,5000.0,0.0,641334.0,5361478.0,-22936.0,1371.0,9222.0,2460.0,-6762.0,-849.0,60.528436982081516,54.017409533582715,0.06974511863189536,0.19868761866014362,53341767.0,0,0.005434758786153848,-0.010007192309708469,0.2041811272771186,0.17782067969994478,1.1482417434330727,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,golden1,golden1,1349935.6220215058
2025-11-03,64.1500015258789,0.19086019904047546,-0.009266385700711921,0.005485929357426089,-222568294.0,-139925247.0,-192.0,70808.0,-0.46999999999999886,0.7600000000000016,-0.33999999999999986,89000.0,-22053000.0,5555.0,0.0,629912.0,5041074.0,-27880.0,-3669.0,9154.0,2385.0,-6769.0,-1314.0,60.528460612544684,54.142602891206316,0.059832033999946965,0.18483408813538893,53341806.0,0,-0.009266385700711921,-0.010007192309708469,0.2110596100470599,0.17896444171832737,1.1793382418349183,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0,1,4,golden1,golden1,1337670.7771485853
2025-11-04,63.95000076293945,0.18345934136622288,-0.012355200572363612,0.00947122814949175,-187648832.0,-117636999.0,-563.0,-8710.0,-0.46999999999999886,0.7600000000000016,-0.019999999999999574,107000.0,15000000.0,5555.0,0.0,690914.0,5458334.0,-27842.0,-388.0,9669.0,3085.0,-6584.0,-955.0,64.01198717796304,54.142602891206316,-0.0009683563619302671,0.1811401252991114,14726236.0,0,-0.003117704726145143,-0.010007192309708469,0.2062800422073824,0.17765325115027295,1.1611385711871645,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0,1,4,golden1,golden1,1331300.4048835132
