,0050.TW,0056.TW,00646.TW,00679B.TWO,00713.TW,00751B.TWO,00878.TW,2884.TW,total,daily_return,cumulative_return
2025-09-26 00:00:00+08:00,58485.516540527344,559337.495891571,2022.4000244140625,600834.7282409668,232527.05516052246,30892.269134521484,283129.4104614258,658.0000305175781,1767886.8754844666,-0.007106181834223957,10.137697852007605
2025-09-30 00:00:00+08:00,59047.38798522949,563780.3526382446,2038.4000244140625,605567.4934387207,234118.13291931152,31174.968719482422,284863.13287353516,666.9999694824219,1781256.8685684204,0.007562697177832645,10.137697852007605
2025-10-01 00:00:00+08:00,59353.85972595215,563933.5848503113,2038.4000244140625,603539.1654968262,233663.53672027588,31057.9891204834,283129.4104614258,666.9999694824219,1777382.9463691711,-0.002174825129158786,10.137697852007605
2025-10-02 00:00:00+08:00,60477.602615356445,567457.1736679077,2049.60009765625,604440.6299591064,233208.94052124023,31135.974884033203,283262.759513855,660.0,1782692.6812591553,0.002987389352885783,10.137697852007605
2025-10-03 00:00:00+08:00,61345.94580078125,567457.1736679077,2054.39990234375,605792.8485870361,232299.74812316895,31233.457565307617,283662.85945129395,651.9999694824219,1784498.4330673218,0.001012934998359416,10.137697852007605
2025-10-07 00:00:00+08:00,63031.55618286133,573891.6731414795,2049.60009765625,601736.2365722656,233663.53672027588,31067.737579345703,286330.10440063477,654.0000152587891,1792424.4447097778,0.004441590698867737,10.137697852007605
2025-10-08 00:00:00+08:00,62469.68473815918,573432.0391769409,2056.0,606694.356918335,233890.8437576294,31252.95639038086,286596.85528564453,655.9999847412109,1797048.736251831,0.002579908768652217,10.137697852007605
2025-10-09 00:00:00+08:00,62929.392349243164,573278.8696365356,2065.60009765625,606243.6027526855,233663.53672027588,31194.46563720703,286996.9552230835,660.0,1797032.422416687,-9.078126160355637e-06,10.137697852007605
2025-10-13 00:00:00+08:00,62316.444915771484,565925.2275772095,2043.199951171875,615483.7341308594,232299.74812316895,31389.43099975586,284196.3084411621,650.0,1794304.0941390991,-0.00151824098639175,10.137697852007605
2025-10-14 00:00:00+08:00,62009.97317504883,560563.1655731201,2043.199951171875,619540.3900146484,232527.05516052246,31594.144821166992,282729.3369140625,655.9999847412109,1791663.2655944824,-0.0014717842718202645,10.137697852007605
2025-10-15 00:00:00+08:00,63133.71211242676,561788.7725830078,2048.0,618413.5704040527,232981.63348388672,31633.136749267578,282595.9614715576,659.0000152587891,1793253.786819458,0.0008877344618927197,10.137697852007605
2025-10-16 00:00:00+08:00,64359.60697937012,569755.2181472778,2044.800048828125,619540.3900146484,233890.8437576294,31750.1163482666,284729.7574310303,648.0000305175781,1806718.7327575684,0.0075086672266238,10.137697852007605
2025-10-17 00:00:00+08:00,63389.10786437988,568529.6111373901,2025.5999755859375,626076.1280059814,233663.53672027588,31945.08171081543,284863.13287353516,650.9999847412109,1811143.198272705,0.002448895577887633,10.137697852007605
2025-10-20 00:00:00+08:00,64461.766860961914,574351.3697776794,2046.4000244140625,618413.5704040527,234118.13291931152,31662.382125854492,286196.75534820557,645.9999847412109,1811896.377445221,0.00041585843307934134,10.137697852007605
2025-10-21 00:00:00+08:00,64563.92674255371,576955.6906661987,2065.60009765625,624498.5103607178,234572.72911834717,31954.830169677734,286730.20433807373,650.0,1821991.491493225,0.0055715736140706795,10.137697852007605
2025-10-22 00:00:00+08:00,64053.13523864746,578334.4672164917,2080.0,628780.5213928223,236163.82475280762,32110.801696777344,286996.9552230835,651.9999694824219,1829171.7054901123,0.003940860333547791,10.137697852007605
2025-10-23 00:00:00+08:00,63695.57960510254,577174.2267494202,2064.0,630583.4503173828,235936.5355911255,32169.292449951172,286863.5797805786,653.0000305175781,1829139.6645240784,-1.751665299531968e-05,10.137697852007605
2025-10-27 00:00:00+08:00,65176.87417602539,583916.5694236755,2112.0,621794.116973877,235481.92151641846,31954.830169677734,289797.52283477783,605.9999847412109,1830839.835079193,0.0009294919289595249,10.137697852007605
2025-10-28 00:00:00+08:00,64717.16261291504,582191.7826309204,2108.800048828125,625625.4177093506,234118.13291931152,32130.298614501953,288864.0002975464,600.0,1830355.594833374,-0.0002644907744200342,10.137697852007605
2025-10-29 00:00:00+08:00,65789.82556152344,587522.9475059509,2110.39990234375,625850.772857666,234118.13291931152,32062.061309814453,290197.6227722168,604.0000152587891,1838255.7628440857,0.004316193002612101,10.137697852007605
2025-10-30 00:00:00+08:00,65789.82556152344,586425.316028595,2118.39990234375,621343.318939209,233436.22968292236,31896.34132385254,290064.2737197876,595.9999847412109,1831669.7051429749,-0.003582775495245105,10.137697852007605
2025-10-31 00:00:00+08:00,66147.37724304199,587366.0803375244,2115.199951171875,618864.236831665,233436.22968292236,31603.88946533203,289664.17378234863,595.0,1829792.1872940063,-0.001025030792231152,10.137697852007605
2025-11-03 00:00:00+08:00,65534.42980957031,585327.7472229004,2112.0,618188.2152557373,234800.05403137207,31418.67446899414,289264.10023498535,602.9999923706055,1827248.2210159302,-0.001390303388407399,10.137697852007605
2025-11-04 00:00:00+08:00,65330.11004638672,579526.1688575745,2110.39990234375,619315.034866333,233663.53672027588,31291.946411132812,287663.75326538086,605.9999847412109,1819506.9500541687,-0.004236573265047339,10.137697852007605
2025-11-05 00:00:00+08:00,64512.84680175781,576703.8132591248,2094.39990234375,622470.2262878418,233663.53672027588,31506.410598754883,286196.75534820557,605.9999847412109,1817753.9889030457,-0.0009634264662032876,10.137697852007605
2025-11-06 00:00:00+08:00,64666.08267211914,579369.3643608093,2102.39990234375,615483.7341308594,234345.43995666504,31301.69677734375,287397.0287704468,599.0000152587891,1815264.746585846,-0.0013694055039328301,10.137697852007605
2025-11-07 00:00:00+08:00,63899.895416259766,573097.4351768494,2089.60009765625,619540.3900146484,233208.94052124023,31477.16522216797,284463.0329360962,592.0000076293945,1808368.4593925476,-0.0037990531167803043,10.137697852007605
2025-11-10 00:00:00+08:00,64717.16261291504,573411.0441703796,2105.60009765625,615934.4882965088,232754.3443222046,31262.70294189453,284596.4083786011,590.0,1805371.75082016,-0.001657133841736158,10.137697852007605
2025-11-11 00:00:00+08:00,64257.45104980469,570902.2348937988,2120.0,618638.9255523682,232754.3443222046,31389.43099975586,285129.83097839355,602.9999923706055,1805795.2177886963,0.0002345594298480691,10.137697852007605
2025-11-12 00:00:00+08:00,64563.92674255371,571686.2573776245,2137.60009765625,622244.8272705078,233663.53672027588,31613.6417388916,285396.5818634033,604.0000152587891,1811910.3718261719,0.003386405045952001,10.137697852007605
2025-11-13 00:00:00+08:00,64257.45104980469,572470.2171897888,2142.39990234375,624949.2645263672,232527.05516052246,31681.8790435791,285529.9309158325,602.0000076293945,1814160.197795868,0.0012416872295004655,10.137697852007605
2025-11-14 00:00:00+08:00,63031.55618286133,566511.9596710205,2105.60009765625,621568.717956543,230935.94165039062,31457.66830444336,283662.85945129395,600.0,1799874.303314209,-0.007874659855847232,10.137697852007605
2025-11-17 00:00:00+08:00,63235.871994018555,561180.79479599,2112.0,617061.3079071045,229799.4600906372,31272.45330810547,281529.0634918213,604.0000152587891,1786794.9516029358,-0.007266813958724527,10.137697852007605
2025-11-18 00:00:00+08:00,61754.5774230957,548793.7409248352,2081.60009765625,622019.4721221924,226753.6423187256,31418.67446899414,276635.26146698,597.9999923706055,1770054.9688148499,-0.009368720665495767,10.137697852007605
2025-11-19 00:00:00+08:00,61345.94580078125,544716.9493522644,2068.800048828125,620441.8983459473,225571.68505096436,31399.17755126953,275411.8175582886,600.0,1761556.2737083435,-0.004801373548413923,10.137697852007605
2025-11-20 00:00:00+08:00,63235.871994018555,556633.6524047852,2107.199951171875,619991.1441802979,228208.36445617676,31418.67446899414,279625.91679382324,604.0000152587891,1781824.8242645264,0.011506047725352797,10.137697852007605
2025-11-21 00:00:00+08:00,61141.626037597656,548793.7409248352,2062.39990234375,624544.8799133301,226253.58828735352,31594.144821166992,276363.3909072876,600.9999847412109,1771354.770778656,-0.005876028520475973,10.137697852007605
2025-11-24 00:00:00+08:00,60835.154296875,551145.6830329895,2097.60009765625,628415.5311584473,227981.07529449463,31847.59521484375,279489.95512390137,615.9999847412109,1782428.594203949,0.006251612386165339,10.137697852007605
2025-11-25 00:00:00+08:00,61652.417541503906,551145.6830329895,2116.800048828125,632286.226272583,227526.4612197876,32062.061309814453,279218.11095428467,602.0000076293945,1786609.7603874207,0.0023457692482424797,10.137697852007605
2025-11-26 00:00:00+08:00,62673.99659729004,559612.7498283386,2134.39990234375,632058.5460662842,229344.84601593018,32091.30096435547,282072.80461120605,610.0,1800598.6439857483,0.007829848413732021,10.137697852007605
2025-11-27 00:00:00+08:00,63235.871994018555,566511.9596710205,2142.39990234375,633652.307510376,229572.1530532837,32237.529754638672,284383.7571487427,607.9999923706055,1812343.9790267944,0.006523016709069074,10.137697852007605
2025-11-28 00:00:00+08:00,63695.57960510254,564787.110206604,2153.60009765625,633196.9470977783,228890.24981689453,32198.535919189453,283160.31324005127,607.0000076293945,1808689.3359909058,-0.002016528362265513,10.137697852007605
2025-12-01 00:00:00+08:00,62827.236419677734,564473.5012130737,2144.0,630692.4209594727,227981.07529449463,32120.55206298828,283568.1454696655,610.9999847412109,1804417.9314041138,-0.002361602129119622,10.137697852007605
2025-12-02 00:00:00+08:00,63031.55618286133,566198.3506774902,2150.39990234375,627504.7664642334,228662.94277954102,32013.320922851562,285607.22744750977,617.0000076293945,1805785.5643844604,0.0007579358177196571,10.137697852007605
2025-12-03 00:00:00+08:00,63644.49966430664,569334.3152694702,2156.800048828125,625455.6007385254,228890.24981689453,31945.08171081543,286150.96856689453,607.9999923706055,1808185.5158081055,0.0013290345603482745,10.137697852007605
2025-12-04 00:00:00+08:00,63542.34373474121,570745.4930686951,2148.800048828125,624089.4756317139,229344.84601593018,31867.095947265625,287102.54191589355,615.9999847412109,1809456.5963478088,0.0007029591425165016,10.137697852007605
2025-12-05 00:00:00+08:00,64104.21517944336,573097.4351768494,2160.0,622723.3505249023,229344.84601593018,31886.592864990234,288190.05054473877,612.9999923706055,1812119.4902992249,0.0014716539522368066,10.137697852007605
2025-12-08 00:00:00+08:00,65074.71824645996,574195.0666542053,2152.0,615665.0886535645,229344.84601593018,31623.388290405273,289005.6886138916,640.0,1807700.7964744568,-0.0024384119526458248,10.137697852007605
2025-12-09 00:00:00+08:00,64972.5544128418,573567.8486671448,2142.39990234375,614526.6437530518,228662.94277954102,31564.899444580078,289141.6238937378,641.9999694824219,1805220.9128227234,-0.0013718440886731909,10.137697852007605
2025-12-10 00:00:00+08:00,65432.27388000488,573724.6531639099,2145.60009765625,617031.213760376,229117.55685424805,31633.136749267578,288869.7533340454,641.9999694824219,1808596.1878089905,0.0018697296061063184,10.137697852007605
2025-12-11 00:00:00+08:00,64717.16261291504,569647.9242630005,2139.199951171875,620218.7805175781,230254.05628967285,31818.3536529541,287238.47719573975,646.9999694824219,1806680.9544525146,-0.0010589612924021274,10.137697852007605
2025-12-12 00:00:00+08:00,64819.322494506836,571686.2573776245,2163.199951171875,616120.4490661621,231163.23081207275,31623.388290405273,288869.7533340454,655.9999847412109,1807101.60131073,0.00023282852303196933,10.137697852007605
2025-12-15 00:00:00+08:00,64155.29116821289,568863.9017791748,2152.0,614526.6437530518,230708.6524887085,31477.16522216797,288325.98582458496,660.0,1800869.6402359009,-0.0034485947388397387,10.137697852007605
2025-12-16 00:00:00+08:00,63593.42367553711,565571.1326904297,2145.60009765625,617941.9345855713,231163.23081207275,31623.388290405273,287782.2447052002,659.0000152587891,1800479.9548721313,-0.00021638732480300238,10.137697852007605
2025-12-17 00:00:00+08:00,63235.871994018555,567609.5284767151,2150.39990234375,620218.7805175781,232754.3443222046,31730.619430541992,290229.132522583,670.0,1808598.677165985,0.004509198934364411,10.137697852007605
2025-12-18 00:00:00+08:00,63235.871994018555,566198.3506774902,2131.199951171875,622040.3099060059,232527.05516052246,31779.361724853516,289957.2619628906,665.0,1808534.4113769531,-3.5533471213544665e-05,10.137697852007605
2025-12-19 00:00:00+08:00,63848.819427490234,570431.9467468262,2147.199951171875,621812.5858306885,234742.88763427734,31799.104690551758,292132.27922058105,670.9999847412109,1817585.8234863281,0.005004832671380299,10.137697852007605
2025-12-22 00:00:00+08:00,64768.24255371094,575763.0489501953,2172.800048828125,619991.1003112793,234973.73405456543,31749.744415283203,294851.06398773193,665.9999847412109,1824935.7343063354,0.00404377648913945,10.137697852007605
2025-12-23 00:00:00+08:00,65074.71824645996,572940.6933517456,2174.39990234375,620901.8650054932,233588.798538208,31769.489288330078,293763.5553588867,670.9999847412109,1820884.5196762085,-0.0022199218054475,10.137697852007605
2025-12-24 00:00:00+08:00,65227.95016479492,573097.4351768494,2179.199951171875,619991.1003112793,233819.6270828247,31729.999542236328,293627.59368896484,679.0000152587891,1820351.9059333801,-0.0002925027573539296,10.137697852007605
2025-12-26 00:00:00+08:00,65789.82556152344,574038.2621574402,2188.800048828125,621129.5890808105,235204.54472351074,31808.98094177246,293219.78784942627,683.0000305175781,1824062.7903938293,0.0020385533414466472,10.137697852007605
2025-12-29 00:00:00+08:00,66658.16479492188,575919.7907752991,2182.39990234375,620218.7805175781,234973.73405456543,31799.104690551758,295394.8051071167,673.0000305175781,1827819.7798728943,0.0020596821002274446,10.137697852007605
2025-12-30 00:00:00+08:00,66556.01281738281,575292.6354598999,2177.60009765625,619535.7398986816,234742.88763427734,31720.129013061523,294986.9992675781,676.9999694824219,1825689.00415802,-0.0011657471586298263,10.137697852007605
2025-12-31 00:00:00+08:00,67015.7204284668,575919.7907752991,2172.800048828125,620218.7805175781,233357.9878692627,31739.8738861084,295122.90815734863,675.0,1826222.8616828918,0.0002924142740936553,10.137697852007605
2026-01-02 00:00:00+08:00,68394.85116577148,580310.1913414001,2171.199951171875,615892.7249908447,233588.798538208,31562.16812133789,297162.01652526855,681.9999694824219,1829763.950603485,0.00193902343185548,10.137697852007605
2026-01-05 00:00:00+08:00,70999.88467407227,582191.7826309204,2169.60009765625,615892.7249908447,233819.6270828247,31542.423248291016,297841.6929244995,676.9999694824219,1835134.7356185913,0.0029352338116261922,10.137697852007605
2026-01-06 00:00:00+08:00,71919.30780029297,584230.053073883,2188.800048828125,616803.4896850586,233819.6270828247,31581.912994384766,299065.1368331909,674.0000152587891,1840282.327533722,0.002805021241884642,10.137697852007605
2026-01-07 00:00:00+08:00,71357.44030761719,589874.8269424438,2198.39990234375,618169.6147918701,234742.88763427734,31710.25276184082,301783.9216003418,665.0,1850502.3439407349,0.005553504619429495,10.137697852007605
2026-01-08 00:00:00+08:00,71612.83605957031,586582.0578536987,2196.800048828125,624317.1558380127,234742.88763427734,31927.448272705078,300696.4129714966,655.9999847412109,1852731.59866333,0.0012046754384800185,10.137697852007605
2026-01-09 00:00:00+08:00,71357.44030761719,586425.316028595,2196.800048828125,623861.795425415,235435.35539245605,31897.8328704834,300424.5424118042,656.9999694824219,1852256.0824546814,-0.0002566568244378731,10.137697852007605
2026-01-12 00:00:00+08:00,71868.23181152344,590658.7867546082,2201.60009765625,622723.3505249023,236358.63381958008,31927.448272705078,302735.4949493408,650.0,1859123.5462303162,0.0037076211225250955,10.137697852007605
2026-01-13 00:00:00+08:00,72225.77954101562,591756.4182319641,2219.199951171875,624317.1558380127,236589.4444885254,31996.55532836914,303551.13301849365,648.0000305175781,1863303.68642807,0.002248446697493467,10.137697852007605
